1270,3.4,3.18
1220,4,3.33
1160,3.75,3.25
950,3.75,2.42
1070,4,2.63
1110,4,2.91
1220,2.8,2.83
1150,3.8,2.51
1440,4,3.82
850,2.6,2.54
1280,3.75,3.38
1020,3.75,3.02
880,2.8,2.6
1080,3.75,3.81
1200,3.5,3.02
1120,3.75,3.48
970,3.2,2.15
1210,4,3.8
1030,3.75,3.13
1020,4,3.4
1400,4,3.59
720,3.25,1.62
1170,3.9,3.61
1070,3.5,2.54
860,3.5,2.51
920,2,0
1350,4,3.72
910,2.3,0.87
980,3.5,2.79
800,3.5,2
1070,4,3.69
1320,3.75,3.48
900,3,2.49
1200,4,3.92
1260,2.8,3.05
830,2.75,2.4
1330,3.5,2.71
1070,3.75,1.58
810,2,1.38
1240,3.75,2.52
820,2.75,2.16
1140,3,2.57
1170,2.25,2.64
870,3.5,2.47
1010,3,1
760,3,2.73
810,2.67,2.42
830,3,2.3
1240,3.8,3.33
910,3.1,2.37
1230,3,2.11
1100,3,2.91
970,3,3.29
1090,3.25,2.67
1300,3.2,2.78
1070,3.8,3.13
1040,2.5,2.94
1320,4,4
1230,3.75,2.9
890,3.5,2.92
960,2.9,1.91
920,2.9,3.11
1260,2.3,2.02
1060,2.8,2.51
1040,4,3.51
990,4,3.24
1040,3.8,2.02
1300,4,2.65
950,3.25,1.74
1090,2.7,1.54
1020,3.5,2.34
1270,3,2.49
1160,3.25,2.49
1050,2.75,2.08
1130,3,2.19
880,2.5,1.8
750,2.8,2.22
1200,3.5,2.95
1010,3.25,2.67
1060,4,2.89
1010,3.5,2.66
1080,3,2.18
1090,3.5,2.81
940,3.75,2.06
1170,4,2.8
920,3,2.59
990,3.5,2.33
1100,4,3.55
1270,4,2.75
930,3.75,3.59
790,3.25,1.54
1080,3.75,2.98
740,3,1.28
960,2.5,1.24
1170,4,2.93
1050,3.75,2.48
1250,4,2.98
1090,2.7,1.17
1010,3.5,2.04
1200,3.2,2.37
1080,3.5,3
1200,2.75,2.98
1070,3.4,2.55
970,2.8,1.86
